date,time,name,staff,room,instructor,description
"Thursday, April 10",9:00 PM – 10:30 PM EDT,Adv Beg VOGUING with Jason A. Rodriguez,Karma Stylz (substitute),Room:Studio 3,,"New Way Vogue is one of 3 styes of voguing.The style is known for voguers showing off contorted and flexible poseswith precision and grace.New Way is an element of vogue that shows mastery in creating lines,shapes, boxes, and face framing to the beat of the music.Classes begins with an ab conditioning series, a stretch series and thenexercises of movement to help understand the dance form.Though students learn through a structure within class, voguing is improvbased. It was created to be a free form of expression.The structure is there to help students explore the dance form but in theend it is to express both freely and confidently."
"Thursday, April 10",9:00 PM – 10:30 PM EDT,Int Adv HIP-HOP with Nick Kim,Jonny Cohen (substitute),Room:Studio 5,,"Nick Kim’s choreography is a dynamic combination of hip hop foundation and new school style. He has studied under teachers that emphasized the importance of hip hop fundamentals and freestyle as well as instructors who incorporate modern choreography grooves and pictures. His class emphasizes balancing fun and pushing yourself to try new ways to grow. Popping, musicality, and weight changes are important aspects of his choreography and classes."
"Friday, April 11",9:00 AM – 10:30 AM EDT,Adv Beg BALLET with Erica Ratkovicz,June Chin (substitute),Room:Studio 1,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Friday, April 11",9:00 AM – 10:30 AM EDT,Int JUMPS AND TURNS with Harry Francis,Harry Francis,Room:Studio A,,"8-10 years training Harry’s ‘Jumps and Turns’ class is a positive, safe space to push and challenge yourself technically and artistically. The warmup incorporates elements of jazz, ballet, yoga and BodyART.After the warmup, there will be a number of pirouette and jump combinations, across the floor.The goal is to have fun and to leave the class feeling amazing, energized and inspired."
"Friday, April 11",9:15 AM – 10:30 AM EDT,All Levels YOGA FLOW: STRETCH & STRENGTHEN with Alyssa Click,Alyssa Click,Room:Studio 2,Alyssa Click,All Levels Yoga Stretch & Strengthen is a combination of Vinyasa-style yoga including active flows and muscle drills as well as long stretches specifically designed for dancers. This class is directed towards cross training the functional strength and flexibility dancers need to continuously perform at their highest level as they continue to feel strong and confident in their bodies through all kinds of movements. Posture modifications will be offered for all individuals to feel confident on and off their mats.
"Friday, April 11",10:30 AM – 12:00 PM EDT,Beg BALLET with Michele Moreno,Michele Moreno,Room:Studio 1,Michele Moreno,"Michele's beginner ballet class is structured for students with basic ballet knowledge and different dance backgrounds. All exercises are combined to improve control, coordination, musicality, and technique. The 90-minute full ballet class includes barre warmup, turns, jumps, and different combinations at the center and across-the-floor."
"Friday, April 11",10:30 AM – 12:00 PM EDT,Beg CONTEMPORARY with Blue,Blue,Room:Studio 4,,
"Friday, April 11",10:30 AM – 12:00 PM EDT,Adv Beg THEATER with Amanda LaMotte,Amanda LaMotte,Room:Studio A,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Friday, April 11",10:30 AM – 12:00 PM EDT,Adv Beg TAP with Madison Hilligoss,Madison Hilligoss,Room:Studio B,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Friday, April 11",10:30 AM – 12:00 PM EDT,Adv Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Room:Studio 5,,"Class begins with a long hip-hop foundational warm up. No matter the level, foundations along with variations will be used to wake up the body, prepare for choreography, and establish building blocks for freestyle. Class will continue by applying the foundations from warm up along with it’s variations to choreography and connection to music. Class is a safe space to grow in movement, vocabulary, and performance quality."
"Friday, April 11",10:30 AM – 12:00 PM EDT,Int Adv COLE JAZZ with Cam Loeser,Cam Loeser,Room:Studio 3,,"8-10 years training A Cole Jazz class offers a training space for dancers looking to develop a more mindful relationship with their technique, hone their artistry, and explore the historic style of Jazz dance pioneer Jack Cole. The class begins with an aerobic warmup that drops the dancer into their breath and sensations from the inside, charging and stretching the body for the work ahead. The class then moves into a center practice that enlist principals from Jack Cole’s pilates informed floor progression, as well as dynamic standing technique and isolation exercises that challenge the dancer to access deeper functionality, coordination, and expansion. We then move into phrase work in the style of Jack Cole that explores dynamic musicality and rhythm, expression, motor skills, and the cultural styles and principles that defined Cole’s idiom and American Jazz Dance. The emphasis of this class is to offer the opportunity for dancers to build a foundational practice and a personal relationship with their craft. It is a space dedicated to helping artists broaden their knowledge and create a deeper understanding of their own bodies. Commitment to consistent training stretches our capacity to take on new, virtuosic work, and opens us up to endless possibilities and discoveries. Most importantly, this is a community space devoted to sharing in the joy of what we do as artists. Come dance!"
"Friday, April 11",10:45 AM – 12:00 PM EDT,All Levels LASTICS STRETCH TECHNIQUE with Donna Flagg,Donna Flagg,Room:Studio 2,Donna Flagg,"Lastics Stretch Technique is a stretching technique born from the world of dance that was designed to improve flexibility based on the techniques that dancers use to stay lean and limber. Unlike methods that rely on external force to push a stretch, Lastics trains you to articulate your body in ways that elongate your muscles from the inside.Not only will it change the way you think about and understand your body, you will also increase your flexibility and improve body awareness through a special mind/muscle connection. You'll move, perform and feel better with muscles that are longer, stronger, more supple, and healthy from the inside-out and end-to-end!"
"Friday, April 11",12:00 PM – 1:30 PM EDT,Basic TAP with Jill Kenney,Jill Kenney,Room:Studio B,Jill Kenney,1-2 years trainingSome prior knowledge of dance terminology
"Friday, April 11",12:00 PM – 1:30 PM EDT,Int Adv CONTEMP JAZZ with Chris Jarosz,Chris Jarosz,Room:Studio A,,8-10 years training
"Friday, April 11",12:00 PM – 1:15 PM EDT,All Levels HIPS AND SPLITS with Donna Flagg,Donna Flagg,Room:Studio 4,Donna Flagg,"A new class created by Donna Flagg that focuses on the health and balance of dancers’ hips. The first half of the class starts with conditioning and strengthening and is followed by Donna’s splits training, which is grounded in Lastics Stretch Technique principles, and proven highly effective in teaching the proper mechanics of splits while learning how to increase stretch and overall range safely."
"Friday, April 11",12:15 PM – 1:45 PM EDT,Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Room:Studio 1,Natalya Stavro,"This class is a fresh and open approach to the study of traditional ballet vocabulary. Emphasis is placed on coordination, placement, flexibility, technique and strength. Musicality is stressed along with a strong sense of performance style. Students in class will move more freely and dance with grace and confidence."
"Friday, April 11",12:15 PM – 1:45 PM EDT,Beg JAZZ FUNK with Chio,Chio,Room:Studio 5,Chio,"2-5 years trainingBasic understanding of discipline and general dance terminology. This is a hot jazz class peppered with street, funk, and Hip-Hop. Students should have a basic understanding of the jazz technique. The warm-up is designed to strengthen the students ability to adopt jazz and funk movement."
"Friday, April 11",12:15 PM – 1:45 PM EDT,Beg COMMERCIAL JAZZ with Debbie Wilson,Debbie Wilson,Room:Studio 3,Debbie Wilson,2-5 years trainingBasic understanding of discipline and general dance terminology
"Friday, April 11",12:15 PM – 1:45 PM EDT,Adv Beg HIP-HOP for THEATER TRAINED DANCERS with Ms Vee,Ms Vee,Room:Studio 2,Ms Vee,"Ever been scared of taking a Hip Hop class because you are a ""kick ball changer""? Ever felt like ""oh I really need to work on my hip hop....but I can't take THAT class. It's too hard!"" Ever do an audition that is skewing to Hip Hop but you felt uncomfortable in the work? This class is designed for YOU! This class is for musical theatre dancers who have always wanted to get into a Hip Hop class but have been too scared or intimidated to do so. Come learn Hip Hop amongst people who feel exactly the same as you. This will be a safe environment where you'll learn the foundation of groove, technique, and vocabulary of Hip Hop. Everything taught will be directed through the lens of theatre. In that vein, this is a safe space to explore and play in this form of dance that is increasingly being used in Musical Theater work.Level: Adv Beginner - This class assumes you have moderate to extensive training in other forms (ie. Ballet, Jazz, and Theatre) and as such will move at that requisite pace, but focus on fundamentals of Hip Hop. So the material is for a beginner of the art form, but the level and pace of the class and how information is given is not."
"Friday, April 11",1:45 PM – 3:15 PM EDT,Adv Beg JAZZ with Sheila Barker,Sheila Barker,Room:Studio A,Sheila Barker,"Focus is on breaking down turns, leaps, placement, connecting movement so it flows, and building a dance vocabulary which will bring the dance student to the next level. The class is welcoming to newcomers and Ms. Barker gives individual attention. Her style uses her wide range of influences to create an exciting innovative fusion."
"Friday, April 11",1:45 PM – 3:15 PM EDT,Beg CONTEMPORARY with Michaela McGowan,Michaela McGowan,Room:Studio 1,Michaela McGowan,2-5 years trainingBasic understanding of discipline and general dance terminology
"Friday, April 11",1:45 PM – 3:15 PM EDT,Int TAP with Jill Kenney,Jill Kenney,Room:Studio B,Jill Kenney,8-10 years training
"Friday, April 11",1:45 PM – 3:15 PM EDT,Basic BALLET with Rose Alice,Rose Alice,Room:Studio 4,,1-2 years trainingSome prior knowledge of dance terminology
"Friday, April 11",2:00 PM – 3:30 PM EDT,Beg THEATER with Deanna Doyle,Cara Leggio (substitute),Room:Studio 2,,"2-5 years trainingBasic understanding of discipline and general dance terminology This class is geared towards the dancer who wants to work on coordination, artistry, strength, technique, vocabulary, and style. We start with a 25-minute progressive, low-intensity warmup, which focuses on getting the body warm, realigned, gently stretched, and ready to move. We then go across the floor for 15 minutes, working on technique such as basic pirouettes and battements. Class culminates with a combo ranging in styles—Billy Joel, Thoroughly Modern Millie, Fred and Ginger, Aretha Frankin, Seven Brides for Seven Brothers, MJ, etc. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Friday, April 11",2:00 PM – 3:30 PM EDT,Adv Beg HIP-HOP with Geheny Rivera,Geheny Rivera,Room:Studio 3,,"Geheny encourages her students to be versatile movers. There is an emphasis on understanding foundation, grooves, and musicality. She pushes her students to the best of their ability and guides them in using these elements to help develop their own personal movement."
"Friday, April 11",2:00 PM – 3:30 PM EDT,Int Adv STREET STYLES with Niki Saludez,Niki Saludez,Room:Studio 5,,8-10 years training
"Friday, April 11",3:30 PM – 5:00 PM EDT,Beg CONTEMPORARY with Eric Campros,Kathy VanDereedt (substitute),Room:Studio 4,,"Class will begin with a Horton and ballet-based warm-up designed to enhance technique, strength, and alignment. Working across the floor, dancers will learn to more effectively take up space, move with conviction, and instill clarity into their movement. Phrase work will focus on musicality and freedom of movement while maintaining strong technique, all offered in a supportive and positive environment. Eric encourages taking risks, both physical and emotional, to further develop individual style. Dancers will be encouraged to let go of expectations and judgment, allowing their artistry to be their voice."
"Friday, April 11",3:30 PM – 5:00 PM EDT,Int Adv JAZZ with Debbie Roshe,James Gray (substitute),Room:Studio A,,8-10 years training
"Friday, April 11",3:30 PM – 5:00 PM EDT,Beg BROADWAY TAP with Deanna Doyle,Eliah James Furlong (substitute),Room:Studio B,Eliah James Furlong,"This class starts with a quick warm-up, followed by 20-30 minutes of across the floor exercises, where we move through the space working on skills such as pullbacks, turns, and progressions that will prepare the brain and body for the combo. We then work on a combo that emphasizes not only tap dancing skills, but also movement quality—think Fred and Ginger meets Gene Kelly meets 42nd Street. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Friday, April 11",3:30 PM – 5:00 PM EDT,Int BALLET with Eureka Nakano Grimes,Eureka Nakano Grimes,Room:Studio 1,,"8-10 years training Eurekaʼs ballet class welcomes all ballet lovers. Eurekaʼs class focuses on precise technique, placement and coordination through dancing with intention. All the while, harnessing graceful strength and movement in the mind and body, and fully stretching the self through musicality and artistry. From beginner to pro, she works passionately to support dancers strive for their individual excellence. Sweat and strive with energetic Eureka!"
"Friday, April 11",3:45 PM – 5:15 PM EDT,Int Adv STREET JAZZ with Neil Schwartz,Roy Garzon (substitute),Room:Studio 5,,"Neil Schwartz’s street jazz class emphasizes musicality, performance, and dynamics, while motivating students to maintain a positive classroom environment. From the warm-up to the class combination, each song is carefully selected to enable each student to focus on body awareness, confidence, and clear execution of movement. Not only will students be challenged physically in the classroom, but also prepared mentally for the outside dance world. This class will encourage students to push past their limits, achieve their desired goals, and know how to have a good time in the process. You never quite know what to expect in class. Come with an open mind, a passion to improve, and the desire to learn more about yourself as an person, artist, and dancer."
"Friday, April 11",3:45 PM – 5:15 PM EDT,Adv Beg HEELS with Yvonne Marie Sain,Yvonne Marie Sain,Room:Studio 3,Yvonne Marie Sain,"This class designed to teach dancers the technique and style of performing in heels. The movement is Street Jazz/Jazz Funk-based with a focus on lines, groove, and feminine sex appeal!"
"Friday, April 11",3:45 PM – 5:15 PM EDT,Adv Beg THEATER with Patrick Garr,Patrick Garr,Room:Studio 2,Patrick Garr,"In Patrick’s theatre dance class, students will learn original combinations, while also implementing fundamental technical elements and exploring storytelling through movement. Dancers will be challenged to explore their own artistic strengths in a safe space, while incorporating technical dance repertoire to prepare students for a career in the professional theater and dance industry. All classes begin with a jazz warmup with a modern flare to challenge dancers in areas such as balance, agility, strength and technique, while additionally preparing the body for intense movement. Patrick’s classes derive movement from many styles of dance, training students to develop versatility, storytelling skills, and musicality."
"Friday, April 11",5:15 PM – 6:45 PM EDT,Beg BALLET with Dorit Koppel,Dorit Koppel,Room:Studio 1,Dorit Koppel,"This class is designed for the beginner who has the basic knowledge of Ballet and the ability to do a full and simple barre. Class begins at the barre, covering all the fundamental exercises. From the barre the class moves to the center, where the movement phrases are aimed to develop balance and coordination...students experience the JOY of MOVEMENT through space. Class is suited for students who come from diverse and non-dance backgrounds."
"Friday, April 11",5:30 PM – 7:00 PM EDT,Adv Beg JAZZ FUSION with Michelle Barber,Alexx Stachowiak (substitute),Room:Studio A,,"Michelle’s classes begin with a warm-up designed to get you focused, balanced and ready to dance. Paying attention to technique, strength and breath, the warm-up will guide students in improving their skills as dancers during the combinations. A certified Pilates instructor and yogi, Michelle incorporates this fundamental knowledge of the body into all aspects of her class. Rather than be limited by one style of dance, Michelle prefers to let the music guide her when creating her movement. Her choreography is therefore a fusion of many styles of jazz dance as well as her own brand of movement. With over 30 years of experience, Michelle has developed a style uniquely her own. To see more of her work, follow her on Instagram @michellebarberdance"
"Friday, April 11",5:30 PM – 7:00 PM EDT,Adv Beg HOUSE with Huu Rock,Huu Rock,Room:Studio 5,,"House is a feeling. In this House Dance class you will learn to feel the music, developing a connection between your movements, the melody and the rhythm. Following a brief warmup, we will break down the fundamentals of House dance: skating, heel toe jack, shuffle and dodge, stomping, the swirl, the train, etc; basic steps that you can take right to the dance floor. Students will then be taught a short routine that stitches it all together. As I always say in my classes: the goal is to have fun, don’t worry about getting it right, just find yourself in the music."
"Friday, April 11",5:30 PM – 7:00 PM EDT,All Levels DANCEHALL with Korie Genius,Korie Genius,Room:Studio 2,Korie Genius,"This class will offer an introduction to the study of the popular Caribbean dance called Dancehall. Highlights of the course will include a warm up where students will get initiated through various dancehall steps eg. Bogle, Wackey Dip, Peppa Seed, and Butterfly; moves that are consistently called upon to create new dances.This will help students become better acquainted with the different styles of the dance discipline leading them in smooth transition to more technical and complex moves to be learned throughout the class.
There will also be a blended learning approach incorporating different genres of reggae (dancehall) music into the weekly routines. Bringing a humorous and comedic way of teaching this class will provide a fun atmosphere for all students"
"Friday, April 11",5:30 PM – 7:00 PM EDT,Int CONTEMPORARY with Ali Koinoglou,Ali Koinoglou,Room:Studio 3,,"Using a strong technical foundation, paired with emotionally driven movement, Ali’s contemporary classes are a push for the body & release for the mind. With a fusion of quick accents & technical elements, dancers are challenged to step outside of their comfort zone to expand their range of motion & performance quality. Ali’s goal is to create a safe, inclusive space for all to feel welcome to explore their artistry!"
"Friday, April 11",5:30 PM – 7:00 PM EDT,Basic JUMPS AND TURNS with Stacie Webster,Stacie Webster,Room:Studio 4,Stacie Webster,1-2 years trainingSome prior knowledge of dance terminology
"Friday, April 11",7:00 PM – 8:30 PM EDT,Int JAZZ FUSION with Michelle Barber,Alexx Stachowiak (substitute),Room:Studio A,,"Michelle’s classes begin with a warm-up designed to get you focused, balanced and ready to dance. Paying attention to technique, strength and breath, the warm-up will guide students in improving their skills as dancers during the combinations. A certified Pilates instructor and yogi, Michelle incorporates this fundamental knowledge of the body into all aspects of her class. Rather than be limited by one style of dance, Michelle prefers to let the music guide her when creating her movement. Her choreography is therefore a fusion of many styles of jazz dance as well as her own brand of movement. With over 30 years of experience, Michelle has developed a style uniquely her own. To see more of her work, follow her on Instagram @michellebarberdance"
"Friday, April 11",7:00 PM – 8:30 PM EDT,Basic CONTEMP JAZZ with Stacie Webster,Stacie Webster,Room:Studio 1,Stacie Webster,"Stacie's class draws from Contemporary, Jazz, and Modern dance styles with a focus on strengthening and conditioning the body. The class emphasizes technique, artistry, and athleticism."
"Friday, April 11",7:00 PM – 8:30 PM EDT,Beg TAP with Mike Camire,Jessee Leigh Robinson (substitute),Room:Studio B,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Friday, April 11",7:00 PM – 8:30 PM EDT,All Levels VOICE with Alyssa Click,Alyssa Click,Room:Studio 4,Alyssa Click,"Alyssa has been teaching private voice lessons since 2015 to performers of all ages and levels. Most recently, she joined the faculty at Wagner College to help continue training the next generation of performers. Whether you're brand new to singing or you've been at it for years, your voice is a muscle that has to work just like the rest of you! During class, we'll go through a round of warm-ups for your breath and body to support healthy singing, learn a new song for you to put in your audition book, and work in a master-class style to work on your own audition rep and practice performing in front of others. Alyssa's biggest philosophy? There's too much music in the world to sing something you don't like. Let's find something new together!"
"Friday, April 11",7:15 PM – 8:45 PM EDT,Basic STREET JAZZ with Q,Q,Room:Studio 3,Q,"As with all of his classes, Q starts with a stretch and tone warm-up designed to prepare you for a combination that often fuses character and story development with movement that aims to complement the vibe of the varied music chosen for choreography. At least 1-2 years of both Hip-Hop and Jazz is recommended for this class."
"Friday, April 11",7:15 PM – 8:45 PM EDT,Int Adv STREET JAZZ with Keenan Cooks,Keenan Cooks,Room:Studio 5,Keenan Cooks,"As a lover of the art of performing, Keenan Cooks' class focuses on enhancing performance quality and dancing beyond the classroom. In each class he pushes students to not only let go and be vulnerable, but to find ways the movement and music relate to situations in their everyday life.Class will start with a warm-up that includes cardio, as well as basic Hip-Hop grooves that can be found throughout Keenan’s choreography. While learning the choreography in class, you will be pushed to incorporate individuality, acting, precision, and musicality. Keenan’s classes are HIGH ENERGY so be ready to sweat!"
"Friday, April 11",7:15 PM – 8:45 PM EDT,All Levels POPPING ANIMATION with Big Mike,Big Mike,Room:Studio 2,,
"Saturday, April 12",9:00 AM – 10:30 AM EDT,Basic THEATER with Daniel Booda,Eliah James Furlong (substitute),Room:Studio 3,Eliah James Furlong,1-2 years trainingSome prior knowledge of dance terminology
"Saturday, April 12",9:00 AM – 10:30 AM EDT,Basic BALLET with June Chin,June Chin,Room:Studio 4,,"1-2 years trainingSome prior knowledge of dance terminology From Basic Ballet to Advanced Ballet, class is systematically set up accordingly to the level of class, the students strength, skill, understanding & capability. Emphasis on placement of the body, control, epaulment, artistry & musicality are essential to the students’ training."
"Saturday, April 12",10:30 AM – 12:00 PM EDT,Beg TAP with Mark Albrecht,Mark Albrecht,Room:Studio B,Mark Albrecht,2-5 years trainingBasic understanding of discipline and general dance terminology
"Saturday, April 12",10:30 AM – 12:00 PM EDT,Adv Beg CONTEMP JAZZ with Ashley Lynne King,Annie Grove (substitute),Room:Studio 3,,"Ashley’s jazz classes encourage students of all ages to challenge their minds, bodies, and musicality. Class will begin with a warmup that focuses on alignment, conditioning, and flexibility before transitioning into upbeat combinations across the floor that utilize technique and foundational jazz footwork. Ashley teaches jazz choreography that emphasizes musicality, strength, style, and technique. All are welcome!"
"Saturday, April 12",12:00 PM – 1:30 PM EDT,Adv Beg JAZZ FUSION with Michelle Barber,Lauryn Johnson (substitute),Room:Studio A,,"Michelle’s classes begin with a warm-up designed to get you focused, balanced and ready to dance. Paying attention to technique, strength and breath, the warm-up will guide students in improving their skills as dancers during the combinations. A certified Pilates instructor and yogi, Michelle incorporates this fundamental knowledge of the body into all aspects of her class. Rather than be limited by one style of dance, Michelle prefers to let the music guide her when creating her movement. Her choreography is therefore a fusion of many styles of jazz dance as well as her own brand of movement. With over 30 years of experience, Michelle has developed a style uniquely her own. To see more of her work, follow her on Instagram @michellebarberdance"
"Saturday, April 12",12:00 PM – 1:30 PM EDT,Beg BALLET with Jessica Epting,Jessica Epting,Room:Studio 1,Jessica Epting,"The goal of this class is to create and inspire an atmosphere where all dancers can train, perfect, push, and grow. Mrs. Epting is committed to being a part of each dancer’s journey, and she values hard work and attentiveness from each and every class. This class relies on a systematic approach to classical ballet for marked improvement. Dancers will focus on the basics of classical ballet technique, and French ballet terminology, while stressing correct placement, with an added emphasis on performance quality and artistry."
"Saturday, April 12",1:00 PM – 2:00 PM EDT,All Levels PILATES SCULPT AND TONE with Meg Chizek,Meg Chizek,Room:Studio 2,Meg Chizek,"Meg's classes focus on core strengthen and alignment. As a dancer, she loves incorporating musicality into her classes while still honoring correct form.Classes begin with a quick stretch to get into the body and connect to your breath. She will guide you through classical mat Pilates exercises with a focus on core, oblique, and gluteal muscles. She offers advancements and modifications throughout her classes, making it a welcoming environment for all levels.
With articulate communication, creative imagery, and exciting music, you are sure to work your body in the most effective and fun way. You will walk away feeling challenged, lengthened, and motivated."
"Saturday, April 12",1:30 PM – 3:00 PM EDT,Int JAZZ FUSION with Michelle Barber,Lauryn Johnson (substitute),Room:Studio A,,"Michelle’s classes begin with a warm-up designed to get you focused, balanced and ready to dance. Paying attention to technique, strength and breath, the warm-up will guide students in improving their skills as dancers during the combinations. A certified Pilates instructor and yogi, Michelle incorporates this fundamental knowledge of the body into all aspects of her class. Rather than be limited by one style of dance, Michelle prefers to let the music guide her when creating her movement. Her choreography is therefore a fusion of many styles of jazz dance as well as her own brand of movement. With over 30 years of experience, Michelle has developed a style uniquely her own. To see more of her work, follow her on Instagram @michellebarberdance"
"Saturday, April 12",2:00 PM – 3:30 PM EDT,Adv Beg JAZZ FUNK with Chio,TBA (substitute),Room:Studio 5,,"5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology This is a hot jazz class peppered with street, funk, and Hip-Hop. Students should have a basic understanding of the jazz technique. The warm-up is designed to strengthen the students ability to adopt jazz and funk movement."
"Saturday, April 12",3:00 PM – 4:00 PM EDT,All Levels HOLISTIC HEALING YOGA with Renata Bonar,Renata Bonar,Room:Studio 2,,"Embark on a transformative journey of mind, heart, body and soul in the Holistic Healing Yoga class. Renata put together this nurturing practice that weaves the trinity of gentle, therapeutic benefits of RESTORATIVE Yoga, the deep, meditative qualities of YIN Yoga, and the conscious, guided relaxation of Yoga NIDRA."
"Saturday, April 12",3:45 PM – 5:15 PM EDT,Adv Beg HIP-HOP with Q,Q,Room:Studio 5,Q,"The class starts with a warm-up that includes isolations and groove exercises that often figure into the video-style choreography. Routines are often worked on for at least two consecutive classes allowing students to clean, perfect and fine tune the movement. Basic experience is helpful but not necessary; however, the desire to learn is crucial!"
"Saturday, April 12",4:00 PM – 5:30 PM EDT,Int TAP with Dario Natarelli,Dario Natarelli,Room:Studio B,,"We will begin with a nice and easy warm up to prevent injuries and to ensure that our bodies are ready to dance. There will be a combination of several call-and-response exercises to train our ear and overall coordination. This is followed by a technique exercise and then a combination to work on picking up choreography quickly. I make sure that every class has a calm, focused, fun, and non-competitive environment as this is the best way to learn."
"Saturday, April 12",4:00 PM – 5:30 PM EDT,Int THEATER with Matthew Steffens,TBA (substitute),Room:Studio 3,,"8-10 years training Matt’s class encourages the students to explore storytelling through musicality and performance in a supportive environment. Class begins with stylized jazz/ballet based warmup. Several across-the-floor exercises continue to incorporate technique, syncopation and coordination. Each week, new choreography will be taught that explores the various styles of musical theater, finding a balance between the rich history (Jack Cole, Fosse, Robbins, Bennett, Gower Champion) and the ever changing contemporary landscape (Funk, Hip-Hop, Contemporary, Street Jazz). Students will be challenged to use their own point of view and individuality to tell a story while connecting with an audience…ALL THE WHILE having FUN!"
